customer_id,name,region,channel
1,Michelle Aguilar,West,Primary
2,Bonnie Arnold,East,Secondary
3,John Scott,South,Secondary
4,Jay Jackson Jr.,North,Secondary
5,Matthew Hernandez,South,Secondary
6,Shane Sparks,West,Secondary
7,Andrew Boyd,East,Secondary
8,Elizabeth Johnson,West,Primary
9,Christopher Sandoval,North,Secondary
10,Matthew Snyder,South,Primary
11,Susan Snyder,North,Primary
12,Cheryl Stone,West,Secondary
13,David Thomas,North,Primary
14,Gary Miller,North,Secondary
15,Terry Wolfe,West,Secondary
16,Megan Peters,West,Secondary
17,Matthew Fields,North,Primary
18,Joshua Yoder,West,Primary
19,Matthew Simpson,West,Secondary
20,Tina Jones,West,Secondary
21,Hailey Gilbert,East,Secondary
22,William Nelson,West,Secondary
23,James Zimmerman,East,Primary
24,Jamie Young,North,Primary
25,Melanie Chang,North,Primary
26,Regina Ruiz,South,Primary
27,Gene Terry,North,Secondary
28,Kylie Russell,North,Secondary
29,James Turner,South,Primary
30,Ruben Kim,South,Secondary
31,Mallory Hernandez,East,Primary
32,Caitlin Sanchez,North,Primary
33,Melinda Morris,South,Secondary
34,Noah Mcgrath,South,Primary
35,Joanne Robertson,West,Secondary
36,Bradley Sharp,East,Primary
37,Dana Jimenez,West,Secondary
38,Christopher Montes,West,Primary
39,Angela Carr,East,Primary
40,Kristin Hawkins,West,Secondary
41,Johnny Hatfield,North,Primary
42,Joseph Anderson,West,Secondary
43,Amanda Sullivan,East,Primary
44,Jacqueline Price,North,Primary
45,Jose Wilson,North,Primary
46,Alan Hall,East,Primary
47,Carol Hamilton,South,Primary
48,Nathan Pacheco,South,Secondary
49,Jon Nichols,North,Primary
50,Erica Nguyen,West,Secondary
51,Tyler Gilmore,North,Secondary
52,Vicki Anderson,East,Secondary
53,Ellen Williams,East,Secondary
54,Andrew Goodwin,East,Primary
55,Russell Garner,North,Secondary
56,Craig Franklin,South,Primary
57,Robert Harrington,North,Secondary
58,Jennifer Clark,East,Primary
59,Todd Rubio,North,Secondary
60,Nicole Martin,West,Secondary
61,David Hayes,West,Secondary
62,Heather Sims,East,Primary
63,Holly Booker,South,Secondary
64,Andres Smith,West,Primary
65,Scott Fernandez,East,Primary
66,Nicole Lewis,West,Primary
67,Patricia Sanchez,East,Secondary
68,Paul Wilson,East,Secondary
69,George Woods,South,Secondary
70,Joann Wood,South,Secondary
71,Donald Trevino,South,Primary
72,Keith Medina,East,Secondary
73,Brenda Mathews,North,Primary
74,Maria Dean,East,Primary
75,Melvin Marquez,South,Secondary
76,John Larson,East,Secondary
77,Connie Walker,South,Secondary
78,Tiffany Dunlap,West,Secondary
79,Rebecca Molina,East,Secondary
80,Eddie Long,East,Secondary
81,Natalie Lynch,North,Primary
82,Thomas Ramsey,North,Secondary
83,Lauren Lopez,North,Primary
84,Jeff Casey,South,Primary
85,Margaret Villegas,East,Secondary
86,Jenny Russo,South,Secondary
87,Evan Hill,South,Primary
88,Catherine Clark,North,Secondary
89,Elizabeth Perez,East,Secondary
90,Christopher Mcmahon,East,Primary
91,Pamela Patterson,North,Secondary
92,Alexandra Hunt,East,Secondary
93,Emma Herrera,South,Primary
94,Janet Bowen,East,Secondary
95,Michael Cruz,West,Primary
96,Chloe Mcdaniel,East,Primary
97,John Mitchell,North,Primary
98,Nicole Greene,East,Secondary
99,Elizabeth Moore,North,Primary
100,Elizabeth Bowman,North,Primary
101,Christopher Ward,North,Primary
102,Amy Johnson,South,Primary
103,Angie Perkins,South,Secondary
104,James Schultz,West,Primary
105,Tiffany Young,West,Secondary
106,Samantha Mccarthy,West,Secondary
107,Jason Baker,East,Secondary
108,Alexis Daniel,North,Primary
109,Tiffany Wells,West,Secondary
110,Kimberly Jones,South,Primary
111,Mark Parker,East,Primary
112,Barbara Patterson,West,Secondary
113,Michelle Watkins,East,Primary
114,Rachel Taylor,East,Secondary
115,Teresa Cunningham,North,Secondary
116,Karen Maldonado,South,Secondary
117,James Johnson,North,Secondary
118,James Jones,East,Primary
119,Richard Pham,East,Primary
120,Nancy Simmons,East,Primary
121,Noah Powers,West,Primary
122,Christopher Mitchell,East,Secondary
123,Christopher Bray,North,Secondary
124,Amanda Castillo,North,Secondary
125,Angela Wagner,West,Primary
126,Jeffrey Mora,North,Secondary
127,Mallory Henry,East,Primary
128,Tina Murphy,East,Secondary
129,Mrs. Elizabeth Landry,North,Primary
130,George Gallegos,South,Primary
131,Jenna Terry,East,Primary
132,Mark Proctor,South,Primary
133,Melissa Curtis,South,Secondary
134,Mrs. Cynthia Young,West,Secondary
135,Denise Swanson,North,Primary
136,Deanna Strickland,East,Primary
137,Jose Perez,East,Secondary
138,Albert Ross,West,Primary
139,Mark Jones,West,Secondary
140,Joel Greene DDS,East,Primary
141,Mrs. Melanie Kent,North,Secondary
142,Rebecca Meyer,North,Secondary
143,Jason Morris,West,Primary
144,Terry Moore,North,Secondary
145,Brooke Allison,North,Primary
146,Alison Yang,West,Primary
147,Laurie Clark,East,Secondary
148,Lindsay Barker,West,Primary
149,Dale Thompson,West,Secondary
150,Nicholas Smith,North,Primary
151,Susan Wright,North,Secondary
152,Joshua Allen,East,Secondary
153,Anthony Gray,East,Primary
154,Kristy Zimmerman,West,Secondary
155,Taylor Best,South,Primary
156,April Allen,West,Secondary
157,Douglas Brown,South,Secondary
158,Cassie Smith,East,Secondary
159,Chad Atkins,East,Primary
160,Timothy Douglas,South,Secondary
161,Jill Hernandez,West,Primary
162,Thomas Pierce,North,Primary
163,Scott Clark,South,Secondary
164,Christine Farmer,South,Primary
165,Christine Stone,South,Primary
166,Amy Wilson,West,Primary
167,Christine Lee,North,Secondary
168,Cynthia Holloway,South,Primary
169,Amanda Mcneil,East,Secondary
170,Steven Nelson,South,Secondary
171,Carla Martinez,West,Primary
172,Alisha Torres,North,Secondary
173,Juan Riggs,East,Secondary
174,Christian Erickson,East,Secondary
175,Joel Smith,North,Secondary
176,Meredith Meyer,East,Primary
177,Meghan Hale,East,Secondary
178,Gary Chapman,South,Secondary
179,Matthew Booker,West,Secondary
180,Melissa Christian,South,Primary
181,William Williams,South,Secondary
182,Brian Roth,North,Primary
183,Gary Faulkner,West,Primary
184,James Maldonado,West,Primary
185,Jonathan Dominguez,North,Primary
186,William Green,North,Primary
187,Beth Smith,South,Secondary
188,Trevor Carter,South,Secondary
189,Kristen Brock,South,Secondary
190,Philip Bailey,West,Primary
191,Kristina Jones,South,Secondary
192,Christine Rowe,South,Secondary
193,Tammy Lozano,South,Secondary
194,Colleen Henson,South,Primary
195,William Clark,West,Secondary
196,Scott Archer,North,Secondary
197,Margaret Brown,West,Secondary
198,Robert Burke,East,Secondary
199,Alexander Davis,North,Secondary
200,Jennifer Simpson,North,Primary
201,Cynthia Love,West,Primary
202,Anthony Thomas,North,Secondary
203,Robert Russell,West,Primary
204,Jay Kim,North,Secondary
205,Jesus Stark,South,Primary
206,Jeremy Stewart,East,Secondary
207,Tracy Murphy,North,Secondary
208,James Bell,West,Secondary
209,Mary Chambers,West,Secondary
210,Allison Harris,South,Secondary
211,Kyle Buckley,South,Secondary
212,Madison Martin,South,Secondary
213,Margaret Robertson,West,Primary
214,Timothy Romero,West,Secondary
215,Nicole Jackson,East,Secondary
216,Brianna Cameron,North,Secondary
217,Lisa Stone,South,Primary
218,Brandon Goodwin,West,Secondary
219,Amy Thomas,West,Primary
220,Renee Cantrell,South,Secondary
221,Jackie Diaz,East,Primary
222,Nicole Cruz,North,Secondary
223,Lori Harrison,North,Secondary
224,Misty Montgomery,West,Secondary
225,Glenn Robbins,South,Primary
226,Timothy Christensen,South,Primary
227,Joshua Bennett,North,Secondary
228,Alicia Salinas,North,Primary
229,Kelly Melton,North,Secondary
230,Lawrence Williams,East,Secondary
231,Lisa Johnson,West,Secondary
232,Leon Greer,South,Secondary
233,Jenna Kent,North,Secondary
234,Natasha Lucas,North,Primary
235,Karen Dean,East,Primary
236,Todd Ritter,North,Primary
237,Kelly Bennett,East,Secondary
238,Juan Mendoza,South,Primary
239,Daisy Jones,West,Primary
240,Steven Lester,East,Primary
241,Edward Jordan,East,Primary
242,Andrew Miller,South,Secondary
243,Vincent Wood,South,Primary
244,Katelyn Hardin,South,Secondary
245,Donna Kelly,West,Primary
246,Alexander Brown,South,Secondary
247,Lindsey Sandoval,East,Secondary
248,Rachel Todd,West,Primary
249,Richard Guerrero,North,Primary
250,Rhonda Juarez,East,Primary
251,Amy Wise,West,Primary
252,Karen Graham,South,Primary
253,Cathy Fowler,North,Primary
254,William Rogers,West,Secondary
255,Elijah Mclaughlin,South,Secondary
256,Alexander Henderson,North,Primary
257,Lorraine Oliver,North,Primary
258,Gavin Carter,West,Primary
259,Sharon Stephenson,East,Primary
260,Kyle Morgan,South,Primary
261,Nicole Franklin,West,Primary
262,Christopher Fletcher,East,Primary
263,Erin Watkins,North,Secondary
264,Vanessa Herman,West,Primary
265,Christopher Thomas,South,Secondary
266,Becky Wilson,East,Primary
267,Andrea Jackson,North,Primary
268,Elizabeth Bentley,South,Secondary
269,Martin Johnston,South,Secondary
270,Derrick Young,West,Primary
271,Ashley Garcia,North,Secondary
272,Emily Ruiz,South,Primary
273,Kenneth Miller,West,Secondary
274,Craig Hanson,West,Primary
275,Nicholas Lara,South,Primary
276,Daniel Cook,East,Secondary
277,Michael Brown,East,Primary
278,Kirk Graham,West,Primary
279,Lisa Barnes,North,Secondary
280,Anthony Murphy,North,Secondary
281,Steven Cooper,South,Primary
282,Jacob Wright,West,Primary
283,Shawn Lee,North,Secondary
284,Amanda Rogers,West,Primary
285,Fred Mcbride,East,Primary
286,Danny Simpson,South,Primary
287,Tyler Mitchell,East,Secondary
288,James Miller,West,Secondary
289,Cynthia Brennan,South,Primary
290,Scott Rojas,West,Primary
291,Brianna Nelson,North,Secondary
292,Mark Weaver,West,Primary
293,Debra Cruz,West,Secondary
294,Kimberly Brooks,West,Secondary
295,John Payne,East,Primary
296,Sherry Baird,South,Secondary
297,Bonnie Allen,East,Primary
298,Cheryl Rodgers,South,Secondary
299,Andrew Lawson,North,Primary
300,Jacqueline Cannon,North,Primary
301,Robin Dawson,North,Primary
302,Terry Cordova,South,Primary
303,Jacob Morris,South,Secondary
304,Karen Richmond,West,Secondary
305,William Roberson,South,Primary
306,Sara Clark,North,Secondary
307,Rebecca Turner,West,Primary
308,Brandy Middleton,South,Primary
309,Juan Dillon,West,Secondary
310,Wendy Lawrence,West,Secondary
311,Kristi Moore,North,Secondary
312,Sharon Hunt,North,Primary
313,Keith Mitchell,North,Secondary
314,Robert Griffin,East,Primary
315,Cynthia Simon,North,Primary
316,John Hawkins,East,Secondary
317,Lisa Lee,West,Secondary
318,Mr. Chase Allen MD,West,Primary
319,David Murphy,South,Secondary
320,Jerry Richardson,West,Secondary
321,Richard Villanueva,East,Primary
322,Amy Johnson,East,Primary
323,Taylor Harris,South,Primary
324,Victor Weaver,West,Secondary
325,Stephanie Nash,North,Primary
326,Christopher Smith,West,Secondary
327,Daniel Romero,East,Primary
328,Melissa Brown,East,Secondary
329,Michael Cox,South,Secondary
330,Christian Russell,West,Primary
331,Angela Beck,West,Primary
332,Joshua Perez,South,Secondary
333,Kenneth Edwards,West,Secondary
334,Daniel Woods,South,Secondary
335,Kelly Green,East,Secondary
336,Angela Spencer,South,Secondary
337,Catherine Hart,South,Secondary
338,Robert Butler,West,Primary
339,Keith Newman,West,Secondary
340,Angela Ramsey,West,Secondary
341,Richard Vasquez,East,Primary
342,Jay Blankenship,West,Secondary
343,David Thompson,South,Secondary
344,Hannah Armstrong,West,Secondary
345,Stephanie Perry,North,Primary
346,Scott Castillo,East,Secondary
347,Jesse Peterson,East,Secondary
348,Christopher Sanchez,South,Primary
349,Pamela Johnson,East,Primary
350,Sherry Robinson,North,Secondary
351,Debra Petersen,West,Secondary
352,Kristopher Moreno,East,Primary
353,Tina Hopkins,North,Secondary
354,Larry Tyler,East,Secondary
355,John Savage,East,Secondary
356,Daniel Hunter,North,Primary
357,Jennifer Gonzales,West,Primary
358,Donna Roberts MD,North,Secondary
359,Jeffrey Brady,East,Primary
360,Scott Vaughn,North,Secondary
361,Lindsey Leon,South,Secondary
362,Megan Tyler,South,Secondary
363,Christy Hall,West,Secondary
364,Anita Yang,North,Secondary
365,Molly Hernandez,North,Secondary
366,Valerie Nelson,East,Secondary
367,Megan Phillips,West,Primary
368,Michelle Hill,West,Secondary
369,Amanda Todd,North,Secondary
370,Nicole Young,East,Secondary
371,Melissa Porter,East,Secondary
372,David Schmidt,North,Primary
373,Katherine Williams,South,Primary
374,Joshua Klein,West,Secondary
375,Michael Brown,South,Primary
376,Karen Schmidt,East,Primary
377,Courtney Jimenez,North,Secondary
378,Robert Curtis,South,Primary
379,Gary Hampton,West,Secondary
380,Kyle Jones,East,Primary
381,Jordan Spencer,West,Primary
382,Grace Evans,West,Primary
383,Christopher Blevins,South,Primary
384,Brandy Mullins,East,Primary
385,Ashley Phillips,North,Primary
386,Christopher Moore,North,Secondary
387,Kimberly King,North,Primary
388,James Gonzalez,East,Secondary
389,Jeremy Watson,North,Primary
390,Erin Warren,North,Secondary
391,Seth Meyers,East,Secondary
392,Brian Smith,East,Secondary
393,Brian Rhodes,South,Primary
394,Destiny Jones,West,Secondary
395,Samantha Wilson,West,Secondary
396,Jason Gomez,South,Secondary
397,Michael Fuentes,South,Primary
398,Shawn Saunders,North,Secondary
399,Kimberly Rhodes,East,Secondary
400,Elizabeth Robertson,West,Secondary
401,Karen Ray,North,Secondary
402,Megan Johnson,North,Secondary
403,Michelle Yoder,North,Secondary
404,Jeffrey Solomon,East,Secondary
405,Charles Beasley,South,Primary
406,Brent Martinez,West,Secondary
407,Kevin Hall,North,Primary
408,Jared Steele,West,Secondary
409,Brian Snyder,North,Primary
410,Bradley Price,North,Primary
411,Travis Bradley,West,Primary
412,Heather Johns,South,Secondary
413,Catherine Rodriguez,West,Secondary
414,Heather Sims,South,Primary
415,Sharon Smith,West,Secondary
416,Megan Howard,South,Secondary
417,Lisa Mejia,South,Primary
418,Bryan Welch,East,Primary
419,Felicia Miller,East,Secondary
420,Teresa Berry,West,Secondary
421,Michael Simmons,East,Primary
422,Cody Smith,South,Secondary
423,Marc Brown,West,Primary
424,Sean Garcia,West,Primary
425,Kelly Brown,East,Secondary
426,Dr. Kelly Powell DVM,South,Secondary
427,Laurie Mcgee,East,Primary
428,Brett Ruiz,South,Primary
429,Lauren Evans,South,Primary
430,Roger Norris,West,Secondary
431,Eric Clark,South,Secondary
432,Kelly Fletcher,West,Secondary
433,Leslie Livingston,West,Secondary
434,Jonathan Jones,North,Primary
435,David Hawkins,South,Primary
436,James Terry,North,Secondary
437,Denise Clay,East,Secondary
438,Crystal Wood,North,Primary
439,Noah Freeman,East,Primary
440,Jennifer Stone,West,Secondary
441,Barbara Hudson,East,Secondary
442,Diane Hughes,North,Secondary
443,Dawn David,South,Primary
444,Catherine Scott,East,Secondary
445,Brian Carter,North,Primary
446,Amber Elliott,South,Secondary
447,Vincent Wheeler,West,Secondary
448,Anna Vincent,South,Secondary
449,Brenda Rogers,East,Primary
450,Danny Branch,East,Secondary
451,Jennifer Williams,South,Secondary
452,Michaela Young,West,Primary
453,Cody Allen,West,Secondary
454,Michael Yates,North,Primary
455,Kathleen Mueller,North,Secondary
456,Dustin Rogers,North,Primary
457,Ryan Kline MD,North,Secondary
458,Mrs. Alexa Jones MD,East,Secondary
459,Kyle Wang,West,Secondary
460,Barbara Vargas,East,Primary
461,Gina Clark,West,Secondary
462,Scott Torres,South,Primary
463,Gail Hernandez,East,Secondary
464,Caitlin Frazier,North,Primary
465,Tyler Taylor,South,Secondary
466,Jonathan Stanley,North,Primary
467,Angel Arellano,East,Secondary
468,David Wade,North,Primary
469,Chelsea Wilson,South,Secondary
470,Corey Jones,South,Primary
471,Nathan Maddox,North,Primary
472,Jessica Reyes,East,Primary
473,Elizabeth Payne,North,Secondary
474,Elizabeth Suarez,North,Secondary
475,Regina Peterson,South,Primary
476,Rebecca Peterson,South,Secondary
477,Jennifer Davis,West,Secondary
478,Megan Adkins,East,Primary
479,Brittney Morton,South,Secondary
480,Robin Pratt,South,Secondary
481,Robert Pham,West,Primary
482,Victoria Thompson,East,Primary
483,Raymond Sosa,North,Secondary
484,Manuel Nguyen,East,Primary
485,Shannon Martin,West,Secondary
486,David Johnston,East,Secondary
487,Sierra Marquez,West,Primary
488,Joseph Dunlap,North,Secondary
489,Daniel Perry,South,Primary
490,Sheryl Lara,North,Primary
491,Wendy Archer,West,Primary
492,Frank Baldwin,North,Secondary
493,Caleb White,South,Secondary
494,Tiffany Contreras,East,Primary
495,Hannah Brown,South,Primary
496,David Goodwin,West,Primary
497,Jeremiah Pitts,East,Primary
498,Brett Mueller,North,Secondary
499,Justin Lewis,North,Primary
500,Lisa Evans,West,Primary
501,Joseph Scott,South,Secondary
502,Todd Rodgers,East,Primary
503,Catherine Keller,North,Secondary
504,Kelly Hogan,East,Primary
505,Kevin Grant,North,Primary
506,Brian Stanton,West,Secondary
507,Dustin Phillips,East,Primary
508,Jeremy Miller,West,Secondary
509,Amy Williams,North,Secondary
510,Stephen Smith,East,Secondary
511,Felicia Thompson,East,Secondary
512,Caitlin Johnson,West,Secondary
513,Bradley Green,East,Primary
514,Brandon Wood,North,Primary
515,Donald Brown,East,Secondary
516,Whitney Bond,West,Primary
517,Brandon Andrews,West,Primary
518,Gloria Davis,East,Primary
519,Michelle Hernandez,North,Primary
520,Carla Rice,South,Secondary
521,Tammy Barker,South,Primary
522,Corey Morales,South,Primary
523,Karen Wallace,South,Secondary
524,Patrick Hopkins,North,Secondary
525,Gary Wallace,North,Primary
526,Elizabeth Hamilton,West,Secondary
527,Tiffany Jones,North,Primary
528,Kyle Moore,South,Secondary
529,John Perry,East,Primary
530,Nicholas Miller,South,Primary
531,Heather Ashley,East,Secondary
532,Nicole Erickson,North,Primary
533,Zachary Perez,South,Primary
